image	author	title	style	description
./images/312.jpg	ALLORI, Cristofano	Judith with the Head of Holofernes	Oil on canvas	"Cristofano Allori trained in the school of his father and his grandfather, the leading Florentine Mannerist Agnolo Allori, known as Bronzino. Even if Cristofano may be regarded as an artist who broke with late Mannerist tendencies and went on to become an express proponent of early Baroque reform ideas, he nevertheless continues to borrow certain traits of ""Mannerist physiognomy"" in order to heighten the effect of a picture. In his most famous painting, Judith with the Head of Holofernes, the extreme contrast between the dark and bearded head of Holofernes and the angelic face of his murderess owes much to the Mannerist school in which he was trained.Allori is said to have created a portrait of his mistress Mazzafirra in the figure of Judith and her mother in the figure of the elderly servant woman. The head of Holofernes may be a self-portrait. If this is true, the picture would certainly be a classic example of the so-called ""portrait historiÃ©"" in which real figures are presented as figures from history. Whether or not this is true, the significance of this painting lies predominantly in the enormous erotic tension that emanates not only from the faces of Judith and Holofernes, but also from the sensuality with which the Old Testament heroine is portrayed. This major theme of triumph over tyranny had never before been presented from this point of view.This is the only painting from the long neglected Florentine school of the seventeenth century whose reputation has always remained at the highest level, and it therefore gained a sort of symbolic value. Moreover, its fame as a masterpiece of the Seicento spread beyond regional borders, thanks in part to its temporary confiscation and subsequent display in the MusÃ©e NapolÃ©on in Paris between 1799 and 1815. The work is by far the best of the many existing versions, copies, and derivations. Although it is not the prime version of this much-painted composition, it is possibly the only fully autograph surviving example.Allori, a Florentine, painted this canvas during Artemisia Gentileschi's stay in Florence, and surelyknew her version.Suggested listening (streaming mp3, 17 minutes):Alessandro Scarlatti: La Giuditta, oratorio, Part I (excerpts)"
./images/313.jpg	ALLORI, Cristofano	Judith with the Head of Holofernes	Oil on canvas	The most famous painting by Florentine artist Cristofano Allori, carried out between 1610 and 1612, became an instant success and was widely copied, due in part to the popularity of the legend of the biblical heroine Judith which the artist interpreted autobiographically; the decapitated head of Holofernes is a self-portrait while his lover Mazzafirra is portrayed in the beautiful face of the young woman, whose extraordinarily luxurious clothing is a direct tribute to the city's thriving textile industry.This work by Cristofano acknowledges his influence from Caravaggio through the teachings of Artemisia Gentileschi who, in the same period in the service of the Medici family, painted two violent interpretations of Judith for Cosimo II. Cristofano emphasizes the heroine's beauty, the candour of her skin tones and the exquisite quality of her clothing, contrasted against the horror of the decapitated head she holds in her hand. Judith appears proud of her deed and sure of her divine protection.Suggested listening (streaming mp3, 17 minutes):Alessandro Scarlatti: La Giuditta, oratorio, Part I (excerpts)
./images/314.jpg	ALLORI, Cristofano	Judith with the Head of Holofernes	Oil on canvas	This painting,one of Allori's best known compositions, is known in more than one version, the most important of which are in the Pitti Palace, Florence and the Royal Collection, London.
./images/316.jpg	ALLSTON, Washington	Uriel Standing in the Sun	Oil on canvas	Among the likely sources of Turner's Angel Standing in the Sun was a remarkable picture by the young American history painter Washington Allston, a friend of Coleridge, Wordsworth and Haydon. His Uriel Standing in the Sun, a chromatically brilliant vision of the archangel guarding heaven against Satanic revolt, inspired by Milton's Paradise Lost, had first been seen in London in 1817, and belonged to the Marquess of Stafford, one of Turner's early patrons.
./images/324.jpg	ALSLOOT, Denis van	Extensive Wooded Landscape with Cephalus and Procris	Oil on copper	Cephalus and Procris were in Greek mythology a young couple, newly married, whose love was destined to end in tragedy. The figures in the painting are probably by another hand most likely to be Alsloot's principle collaborator, Henderick de Clerck.
./images/325.jpg	ALSLOOT, Denis van	The Flight into Egypt	Oil on oak panel	The forested landscapes of Alsloot often incorporate views of castles and abbeys located in the Foret de Soignes, near Brussels, a frequent source of inspiration. The building depicted with topographical accuracy in its lakeside setting in the present painting can be identified as the chÃ¢teau at Tervueren, an important site tied to the Brussels court.As in many of Alsloot's paintings the figures are probably the work of Alsloot's principal collaborator, Hendrik de Clerck.
./images/326.jpg	ALSLOOT, Denis van	Skating during Carnival	Oil on panel	From the late fifteenth century the landscape genre had a great development in Flanders. In many cases landscapes of the period not only showed the nature that surrounded the artists but also the population, both peasants and the upper classes, performing different activities. The snowy landscape, a typical Flemish genre, showed the people in their outdoor activities despite the cold. The scenes of skaters and carnivals became associated with this type of snowy landscapes.Denis van Alsloot, painter to the archducal court in Brussels, was a prominent landscape painter. The scene depicted in his Skating during Carnival takes place in Antwerp, identified by the walls built with Charles V and the Church of St. Jacques. What we see is a social scene where the characters perform different activities, highlighting the skaters with colourful carnival costumes. The clothing of most of the characters indicates that this is the entertainment of the upper classes. Many of the clothes that the characters wear come from Spanish fashion, but there are also some typical Flemish garments.
./images/328.jpg	ALSLOOT, Denis van	Winter Landscape in the FÃÂ´ret de Soignes, with the Flight Into Egypt	Oil on oak panel	The view is probably a capriccio of various of the abbeys set among ponds in the rolling woodland to the south and east of Brussels.Suggested listening (streaming mp3, 11 minutes):Vivaldi: Concerto in F minor RV 297 op. 8 No. 4 (Winter)
./images/329.jpg	ALT, Rudolf von	View of Vienna from the Prater	Watercolour and gum arabic on paper	In this landscape, painted in the year following his visit to Venice, we see the impact of his Venetian sojourn through the artist's atmospheric light and heightened colour.
./images/330.jpg	ALTDORFER, Albrecht	Landscape with Satyr Family	Panel	A family of satyrs has settled on a tree-covered slope at the foot of a cliff. The man with horns and goat's feet is shown holding a club, while a blonde woman nestles against him and supports the child standing on her thigh. The couple seem to be oblivious of a scene taking place in a nearby meadow, where a woman in a red dress is attempting to flee from a naked man who is carrying a stick in one hand and holding her fast with the other.The uninhibited way of life of human or semi-human beings in the freedom of natural surroundings was a frequently occurring theme in literary and pictorial works of the Renaissance, following the precedent of antiquity. German artists became familiar with subjects of this kind mainly through copper-engravings by Andrea Mantegna and other northern Italian artists. By no means all these themes were derived straight from antiquity; frequently they were mythological fantasies inspired by Roman relief sculpture.The whole atmosphere of Altdorfer's idyllic scene suggests that it was inspired not so much by engravings as by the Arcadian landscapes of Venetian painters of the school of Giorgione; yet, although the motif of the naked woman seen from behind seems to confirm this, Altdorfer's approach to his art is fundamentally different. The satisfaction of depicting the nude, for which scenes from antiquity provided the most obvious pretext, is entirely subordinate in Altdorfer's paintings to his rendering of nature. The figures, which are fairly summarily treated, remain small and relatively inconspicuous against the dense wooded background. Whether the painter actually visited Venice is not certain but it does seem highly likely. About 1500 he was working in the Salzburg region at the Mondsee monastery, before he acquired burgher's rights in Regensburg in 1505. The present work, produced two years later, is one of Altdorfer's earliest signed and dated paintings. Like Cranach's Rest on the Flight, painted in 1504, it points the way to a new awareness of landscape in the Renaissance period, originally stemming from the so-called Danube school.Around the middle of the last century this portrait was in the Kraenner Collection in Regensburg; it later passed into the collection of Barthel Suermondt, which was purchased for the Berlin Gallery in 1874.
./images/331.jpg	ALTDORFER, Albrecht	Landscape with Path	Parchment and wood	This painting represents one of the first landscapes in the history of European painting.
./images/332.jpg	ALTDORFER, Albrecht	Danubian Landscape	Parchment on wood	With a sentimental note and an intuitive science of light and colouring, the masters of the Danube school, Altdorfer and Huber, gave free rein to their lyricism in scintillating mythologies and religious scenes, in which the landscape acquires an importance never before equalled, and vibrates with a completely personal communion with nature.Altdorfer became a citizen of Regensburg in 1505, and later the Surveyor of the city's buildings. The steeply wooded stretch of the Danube below the city, with the castle of Worth, appears in several Altdorfer paintings.
./images/333.jpg	ALTDORFER, Albrecht	Susanna in the Bath and the Stoning of the Elders	Wood	Altdorfer placed biblical and historical scenes into German landscapes, and the figures were represented in contemporary dresses. As an exampÃ©e, this well-known biblical scene takes place in the garden of a Renaissance palace.
./images/334.jpg	ALTDORFER, Albrecht	The Battle of Alexander	Oil tempera on wood	This is the most famous painting of Altdorfer. Its subject is the victory of the young Alexander the Great in 333 B.C. over the Persian army of King Darius in the battle of Issos. The battle in fact took place in Turkey, however, on this painting it is shown in the rocky environment of the Alps with German cities in the background.The viewer, endowed with telescopic vision, witnesses the battle and the cosmic landscape. The ebb and flow of battle makes it difficult initially to distinguish the two sides. Altdorfer dressed the Macedonians like German knights and landsknechts (mercenary foot-soldiers), while the Persian warriors sport turbans and exotic attires. Hundreds of riders and foot-soldiers skirmish within sight of their battle standards. Darius' chariot, with mounted steel blades, cuts a path through the throng. Alexander, riding on Bucephalus, and some of his knights are in close pursuit. Darius escaped but at great cost: according to the tablet above, 100.000 Persian soldiers and 10.000 riders died. Although the actual toll was lower, Darius' army was decimated and his family was captured.Suggested listening (streaming mp3, 12 minutes):Heinrich Ignaz Franz von Biber: The Battle, suite
./images/337.jpg	ALTDORFER, Albrecht	Lovers	Fresco	This fragment of a fresco was executed for the decoration of Kaiserbad in Regensburg. (Other fragments are in the StÃ¤dtishes Museum, Regensburg). The importance is given to these fragments by the fact that no wall other wall paintings survived from the masters of the Danube school (except a damaged fresco by Wolf Huber in Neuburg am Inn.
./images/338.jpg	ALTDORFER, Albrecht	Loth and his Daughters	Oil on limewood	Albrecht Altdorfer was one of the great German masters of the 16th century. Although remaining within the orbit of DÃ¼rer's influence, Altdorfer began a trend in painting which focused on the representation of nature, which he interpreted - in an almost Romantic style - as something living and moving. This development became known as the Danube school and Altdorfer was its principal representative.
./images/339.jpg	ALTDORFER, Albrecht	Diptych	Linden panel	The small diptych represents the Stigmatisation of St Francis (left panel) and the Penitence of St Jerome (right panel). In the diptych the two saints are seen close-up, in contrast with the infinite space of their landscape settings.Altdorfer belongs to a small group of German artists for whom landscape assumed great importance, both for helping to set the emotional tone of a narrative scene, and for its own sake.
./images/340.jpg	ALTDORFER, Albrecht	Saint George in the Forest	Parchment on lime panel	Altdorfer was one of Germany's most innovative artists in an era spanning late medieval piety, the Renaissance and the Reformation, and his work reveals many facets of a changing society. It is especially noteworthy for an expressive use of nature and for introducing landscape as a theme of its own in art. In this respect Altdorfer is the central figure of the Danube school.The forest was the outdoor setting most favoured by Altdorfer, and it sets the tone of many subjects both secular and religious.
./images/341.jpg	ALTDORFER, Albrecht	Rest on the Flight into Egypt	Oil on panel	The Virgin is shown resting in a throne-like chair by a richly ornate Renaissance fountain, while Joseph proffers a basket of cherries. Several angels are playing in and around the basin of the fountain, and the child Jesus tries to reach into the water. The fountain-pillar is lavishly decorated with sculpture. The significance of the group of figures at the top - a bearded man with a boy shooting an arrow - is not clear, but appears to relate to ancient mythology. Beyond the fountain the wooded shores of a lake stretch far into the distance. The rocks are crowded with gateways, fortified roads and towers, houses with pointed gables, ruins and decaying roofs - all so intricately interwoven with trees and foliage that it is difficult to detect the relationship of any one building to the other.The element of fantasy, which so dominates the landscape, is also apparent in the fountain, in which the figures seem to be drawn both from reality and from the artist's imagination. There is no prototype or parallel in Altdorfer's time for the bizarre appearance of the fountain. The painter's artistic invention was sin this case at least a generation ahead of his time.At the foot of the fountain is a stone tablet bearing the Latin inscription: 'Albertus Aldorfer pictor Ratisponensis in salutem animae hoc tibi munus diva maria sacravit corde fideli 1510 AA' ('Albrecht Altdorfer, painter from Regensburg, for the salvation of his soul dedicated this gift to thee, divine Mary, with a faithful heart');.this indicates a very personal confession on the part of the painter, his appeal to the Virgin Mary. The dedication must also be taken as an explanation of the central feature of the picture, the fountain, which - though symbolic of a heathen place - is nonetheless the water of life for the Holy Family. The motif recalls the legend, according to which a spring appeared from the earth when the Holy Family in its flight sought a place to rest. A few years earlier Cranach had treated the same theme;this fact establishes a singular bond between the two paintings.It is assumed that the landscape reproduces impressions from the country near Regensburg, and in particular the hamlets of Scheuchenberg, Lerchenhaube and WÃ¶rth, which are also recognizable in Altdorfer's Crucifixion in the gallery at Cassel. The painter settled in Regensburg in 1505 and twenty years later was appointed the city's master-builder. Most of his pictures point to a predilection for architecture and architectural dÃ©cor. An example of this is the highly imaginitive construction of the fountain and - on another panel in Berlin painted somewhat later - the ruin in the darkness which serves as the setting for the birth of Christ.
./images/342.jpg	ALTDORFER, Albrecht	Rest on the Flight into Egypt (detail)	Oil on panel	Several angels are playing in and around the basin of the fountain, and the child Jesus tries to reach into the water.
./images/343.jpg	ALTDORFER, Albrecht	Nativity	Linden panel	Staged as a nocturne, this Nativity takes place in a stable so ruinous that an additional miracle may be found in its not having collapsed upon the Holy Family sheltering within. The stable clearly enjoyed a loftier function before housing ox, ass, and homeless family, probably first built in Bethlehem as part of the palace of David, ancestor of the Virgin.
./images/346.jpg	ALTDORFER, Albrecht	Christ on the Cross between Mary and St John	Limewood	Keeling in prayer beneath the cross are the tiny figures of the unknown couple who donated this crucifixion panel, which would have hung above the family tomb in a Regensburg church or cloister. At the foot of the cross, where in other such works one finds the skull of Adam, said to have been buried at Golgotha and whose sins Christ atones for by his death, is their coat of arms, with a hexagram. On either side of Christ, who is represented not in an idealised manner but with the signs of his injuries, the landscape stretches away into the far distance.Suggested listening (streaming mp3, 3 minutes):Guillaume Dufay: Hymn for Easter
./images/347.jpg	ALTDORFER, Albrecht	Christ on the Cross between Mary and St John (detail)	Limewood	The picture shows a detail of the landscape behind the cross. Altdorfer is considered to be one of the founders of the German landscape painting that emerges in the early 16th century, the great achievement of which is the representation of nature in its concrete reality, essential for the later development of art.
./images/348.jpg	ALTDORFER, Albrecht	Christ on the Cross	Wood	Apart from DÃ¼rer, Cranach and GrÃ¼newald, Altdorfer was the most significant German artist of the sixteenth century: a gifted painter, a graphic artist and the founder of the Danube School. He worked in Regensburg on the Danube, painting altarpieces and Biblical and historical scenes, and he was also the first landscape painter in the modern sense.The Crucifixion is a composition with numerous figures depicted against a golden background. This works illustrates very fully his fresh manner of representation and narration. Altdorfer painted several Crucifixions, but it is possible, on stylistic grounds, to date this version to around 1520. The symmetrical arrangement, with the cross in the centre of the composition, the crowd surging round it and the golden background (an unusual feature with Altdorfer) give the work a peculiarly archaic character. As in some of his engravings, the painter borrowed several of the figures and motifs from Mantegna.The painting was commissioned by Peter Maurer, Provost of Sankt Florian for his private chapel. It is signed with the artist's monogram at bottom right.
./images/352.jpg	ALTDORFER, Albrecht	Mary with the Child	Wood	The painting was executed after an engraving of DÃ¼rer.
./images/353.jpg	ALTDORFER, Albrecht	The Birth of the Virgin	Pine panel	No architectural work by Altdorfer is known, but his interest in architecture and his skill in handling intricate problems of perspective are demonstrated by his Birth of the Virgin.
./images/354.jpg	ALTDORFER, Albrecht	Crucifixion	Linden panel	A turbulent, darkening sky, signifying the eclipse at Christ's death, is seen behind Altdorfer's obliquely placed Crucifixion panel. Mary Magdalen is seen from the back in a melancholic pose, as the other Marys leave with St John the Evangelist and a bearded elder just before the deposition takes place.
./images/355.jpg	ALTDORFER, Albrecht	Portrait of a Woman	Oil on panel	Very few portraits by Altdorfer are known. In this painting the image of the woman is a strange one, despite the apparent normality of the sitter, who has the air of a countrywoman. The cold light which illuminates her and the contrast with the background, with its sketchy and barely decipherable shadows, contribute to this mood.
./images/356.jpg	ALTDORFER, Albrecht	Christ in the Garden of Gethsemane	Oil on wood	One of Altdorfer's most ambitious commissions involved the execution of panels for the altarpiece in the Collegiate Church of Saint Florian near Linz, which was installed in 1518. Originally the ornate shrine must have resembled the greataltarpiece of Saint Wolfgangby Michael Pacher, with an elaborate framework intricately carved about painted panels, and inner sculptures, but only the paintings remain intact. Now dismantled, most parts are at either Sankt Florian or Vienna.When the wings are opened, eight episodes from the Passion of Christ appear in two registers; closed, four scenes in the life of Saint Sebastian are presented. The predella displays four more painted panels, including the Entombment and Resurrection, Saints Margaret and Barbara, and the donor, Provost Peter Maurer. Altdorfer's drama of the Passion is intensified in emotion and superbly composed with four scenes that takes place in the darkness and four opposing scenes on the right, which occur in daylight.The first of the series, Christ in the Garden of Gethsemane, is one of the finest examples of the artist's expression in themes of betrayal and violence. The threatening darkness of the night sky, striated by intense layers of red, does not conceal the nature of the sinister landscape of Gethsemane. In the foreground an eerie grotto of stalactites forms the uneasy stage for Christ and his three apostles, Peter, James, and John.
./images/357.jpg	ALTDORFER, Albrecht	The Arrest of Christ	Oil on wood	"One of the main concerns of the German artist Albrecht Altdorfer was to paint atmospheric landscapes. In the Arrest scene of the St Florian Altarpiece, which today survives only in fragments, the light from the torches throws up a night scene in a forest covered by a somberly glowing night sky. This kind of dramatic interpretation of the subject matter was just the sort of model Holbein needed for his Passion altarpiece.Suggested listening (streaming mp3, 11 minutes):Georges de la Hele: Missa ""Nigra sum"""
./images/358.jpg	ALTDORFER, Albrecht	The Flagellation of Christ	Oil on wood	The great Augustinian abbey of St. Florian provided the wealthy and culturally sophisticated milieu for the creation of Altdorfer's high altar, his masterpiece. Now dismantled, most parts are at either Sankt Florian or Vienna.
./images/359.jpg	ALTDORFER, Albrecht	The Resurrection of Christ	Oil on wood	This is a panel from a from a large winged altarpiece, the Florian Altarpiece painted for abbey Augustiner-Chorherrenstift at Sankt Florian near Linz, Austria. The altarpiece survived only in fragments.The altarpiece when open represented scenes from the Passion, while showed four scenes of the Legend of St Sebastian when closed. This panel constituted a part of the predella.Suggested listening (streaming mp3, 22 minutes):Giovanni Pierluigi da Palestrina: Missa brevis
./images/360.jpg	ALTDORFER, Albrecht	The Entombment	Oil on wood	Originally this panel was on the predella of the winged altarpiece of St Florian.
./images/361.jpg	ALTDORFER, Albrecht	St Florian Taking Leave of the Monastery	Oil on wood	The two panels in the Uffizi (The Departure of St Florian and The Martyrdom of St Florian) make up a series (incomplete) of seven representing the story of St Florian. The other panels are scattered in various museums: 3 in Nuremberg, 1 in Prague, and 1 in Bern. They are not belong to the St Florian Altarpiece executed by Altdorfer for the abbey church in Sankt Florian near Linz, Austria. It is not known whether this altarpiece was also painted for the same church.Albrecht Altdorfer was a painter who tended to specialize in landscape and architecture to such an extent that these elements, from being simple background decorations, often became the central theme of his paintings. The dramatic and enchanted images that were the hallmark of his style caused him to be considered one of the precursors of Romanticism.Altdorfer's fantastic, visionary art represented the other side of sixteenth century culture. In his paintings he borrows the extremely vivid colours from dreams, the narration becomes impassioned, and the space-time elements narrow and expand irrationally.Particularly noteworthy is the crystalline clearness of the colours, especially the whites, which contribute to giving the story and the whole scene a somewhat unreal atmosphere.
./images/362.jpg	ALTDORFER, Albrecht	The Martyrdom of St Florian	Oil on wood	The two panels in the Uffizi (The Departure of St Florian and The Martyrdom of St Florian) make up a series (incomplete) seven representing the story of St Florian. The other panels are   scattered in various museums: 3 in Nuremberg, 1 in Prague, and 1 in Bern. They are not belong to the St Florian Altarpiece executed by Altdorfer for the abbey church in Sankt Florian near Linz, Austria. It is not known whether this altarpiece was also painted for the same church.Florian was a Roman soldier of the tow Ems in what is now Upper Austria who was converted to Christianity and martyred in 304 by being thrown into  the river Ems with a millstone tied around his neck. Passers-be recovered his body which was watched over by an eagle until taken away for burial. He was said to have miraculously put out the flames of a burning building, or a whole city, with a single bucket of water. He is thus invoked against fire. He is a popular saint in Austria and Bavaria.
./images/368.jpg	ALTICHIERO da Zevio	View of the chapel	Fresco	This view shows the altar wall of the chapel with the Coronation of the Virgin (top) and the Crucifixion (bottom) as well as the northeast wall with scenes from the Life of St George. Part of the barrel vault, on which the frescoes suffered considerably during the centuries, is also can be seen.
./images/369.jpg	ALTICHIERO da Zevio	View of the chapel	Fresco	The picture shows a view of the chapel from the entrance.
./images/370.jpg	ALTICHIERO da Zevio	View of the chapel	Fresco	This view shows the altar wall of the chapel with the Coronation of the Virgin (top) and the Crucifixion (bottom) as well as the southwest wall with scenes from the legends of Sts Catherine and Lucy.
./images/371.jpg	ALTICHIERO da Zevio	View of the altar wall	Fresco	The two pictures on the altar wall represents the Coronation of the Virgin (top) and the Crucifixion (bottom).
./images/373.jpg	ALTICHIERO da Zevio	Scenes on the entry wall	Fresco	On the entry wall the story of Christ's childhood is depicted. Following the Annunciation (top) are the Adoration of the Shepherds (middle left), the Adoration of the Magi (middle right), The Flight into Egypt (bottom left) and the Presentation in the Temple (bottom right). The two pictures on the altar wall represents the Coronation of the Virgin (top) and the Crucifixion (bottom).
./images/374.jpg	ALTICHIERO da Zevio	Adoration of the Magi	Fresco	The Adoration of the Magi is located middle right on the entry wall of the chapel.Altichiero always gave his figures space, in the sense of room to move, along with this freedom of movement are their characteristic serenity and deliberate quality, which is strongly reminiscent of Giotto's figural ideal. A good example of this is the Adoration of the Magi, in which one can clearly see how Altichiero has combined the Giottesque character of the figures with the penchant for narrative detail that is more in tune with the taste of his own time. He does this by directing the attention of the viewer to the retinue of people from the Orient, to the humble appearance of the stable, and to the clothing, with its often contemporary, ultrafashionable cut and high-quality materials. Furthermore, in order to denote the specific locality, the painter allows the walls and towers of Bethlehem to rise beyond the mountains.
./images/375.jpg	ALTICHIERO da Zevio	Adoration of the Magi (detail)	Fresco	The Adoration of the Magi is located middle right on the entry wall of the chapel.Altichiero always gave his figures space, in the sense of room to move, along with this freedom of movement are their characteristic serenity and deliberate quality, which is strongly reminiscent of Giotto's figural ideal. A good example of this is the Adoration of the Magi, in which one can clearly see how Altichiero has combined the Giottesque character of the figures with the penchant for narrative detail that is more in tune with the taste of his own time. He does this by directing the attention of the viewer to the retinue of people from the Orient, to the humble appearance of the stable, and to the clothing, with its often contemporary, ultrafashionable cut and high-quality materials. Furthermore, in order to denote the specific locality, the painter allows the walls and towers of Bethlehem to rise beyond the mountains.
./images/376.jpg	ALTICHIERO da Zevio	Crucifixion	Fresco	The Crucifixion scene is located on the altar wall. The grouping and the gestures of the figures are characterized by a particularly high level of sophistication. In the distinct contrast between the serene pose and inward-focused expression of the crucified Christ, on the one hand, and the agitation of the mourning angels on the other, we still feel the influence of theCrucifixion fresco in the Scrovegni Chapel,though the added thieves and crowd gathered below the crosses conform to the archetype of the densely populated paintings of Golgotha that in the meantime had become common in Trecento painting.
./images/377.jpg	ALTICHIERO da Zevio	Two scenes on the northeast wall	Fresco	Six of the seven paintings on the northeast wall (left to the entrance) are devoted to the life and martyrdom of St George. The picture shows St George Baptizes the King and His Family (top) and St George Liberated by Angels from Torture on the Wheel (bottom).According to the Golden Legend, the king had a large church erected in honour of the Virgin Mary and St George. The three-aisle basilica shown in cross section in the middle segment of the baptizing scene's expansive architectural backdrop, with its lofts, galleries, pulpits and all sorts of attached structures, is an allusion to this church.The St George cycle continues in the lower register of the wall with images depicting the saint being sentenced to various tortures. However, neither the cup of poison given to St George nor torture on the sword-studded wheel is capable of doing the condemned saint any harm. Two angels intervene and the wheel breaks into pieces, causing the commander, the torturers, and the onlookers to shrink back in horror.
./images/378.jpg	ALTICHIERO da Zevio	St George Slays the Dragon	Fresco	Six of the seven paintings on the northeast wall (left to the entrance) are devoted to the life and martyrdom of St George, beginning with St George Slays the Dragon in the upper register of the wall. It is characteristic of Altichiero that he did not limit the scene to the figures of the knight slaying the dragon with his lance and the princess; he added a rocky landscape that stretches deep into space at the left of the image and, as a counterpart to this on the right, included a fantastic image of the city of Silene from whose walls the king and his wife, as well as the inhabitants of the city, follow with frightened looks the battle taking place before the city gate.
./images/379.jpg	ALTICHIERO da Zevio	St George Baptizes the King and His Family (detail)	Fresco	In this scene, most of those present are wearing traditional garb of the period; moreover, several of these figures are presumed to be portraits of contemporaries. Similarities wwith theportrait of Petrarchin a contemporary codex, the man dressed in dark red behind St George can be identified as Petrarch, while the figure beside him on his left may be his secretary and pupil, Lombardo della Seta.
./images/380.jpg	ALTICHIERO da Zevio	The Beheading of St George	Fresco	This scene is located in the lower register of the northeast wall.St George was beheaded before the city gates. This scene is vividly depicted in the last fresco of the northeast wall. Soldiers with their upright spears and lances, officers on horses, and several citizens form a compact wall of people around the saint, who kneels on the ground deep in prayer. Above the saint's lowered head, the executioner raises his sword and is readying himself to deliver the deadly blow.Here Altichiero shows most  interestingly the influence of Giotto in the solidity of his groups of figures posed in large natural spaces. He achieves brilliant results with this technique, softened by Gothic details. In addition to this, the Veronese painter took pains to portray everyday feelings. Notice the way the father takes his son away from the scene of the macabre torture.
./images/381.jpg	ALTICHIERO da Zevio	Two scenes on the southwest wall	Fresco	On the southwest wall opposite the St George cycle are four scenes depicting the work and martyrdom of St Catherine (in the upper register) and that of St Lucy (in the lower register). The picture shows the scenes St Catherine Liberated by an Angel from the Torture on the Wheel (top) and The Martyrdom of St Lucy (bottom).The first two pictures, dedicated to St Catherine, are in very poor condition; they show the saint appearing before Emperor Maxentius to condemn idolatry and her dispute with the philosophers summoned by the emperor and their conversion. These scenes are followed by the picture of an angel intervening to prevent Catherine's torture on the wheel and the beheading of the saint. Both scenes have parallels in the St George cycle, here, however, an oriental milieu, seen in the physiognomies, head coverings, and scimitars, is emphasized still more.The first Lucy scene in the lower register shows the steadfastness of the saint before the judge Paschasius, the second and unsuccessful attempt to have her brought to a brothel with a team of oxen. These scenes are followed by the martyrdom of the saint, and the concluding scene is her burial. In the martyrdom scene she survives torture by flame and boiling oil, unscathed, and is then stabbed to death.
./images/382.jpg	ALTICHIERO da Zevio	The Beheading of St Catherine	Fresco	The first two pictures, dedicated to St Catherine, are in very poor condition; they show the saint appearing before Emperor Maxentius to condemn idolatry and her dispute with the philosophers summoned by the emperor and their conversion. These scenes are followed by the picture of an angel intervening to prevent Catherine's torture on the wheel and the beheading of the saint. Both scenes have parallels in the St George cycle, here, however, an oriental milieu, seen in the physiognomies, head coverings, and scimitars, is emphasized still more.
./images/383.jpg	ALTICHIERO da Zevio	The Funeral of St Lucy	Fresco	The first Lucy scene in the lower register shows the steadfastness of the saint before the judge Paschasius, the second and unsuccessful attempt to have her brought to a brothel with a team of oxen. These scenes are followed by the martyrdom of the saint, and the concluding scene is her burial.In the scene of The Funeral of St Lucy the backdrop is a lavishly designed sacred building - the church that was erected over the tomb of the saint, according to the Golden Legend. Numerous citizens dressed in contemporary garb are present at the funeral ceremony, and some of their faced have unmistakably portrait-like features. This applies particularly to the figures in the left half of the image, among whom Giovanni de' Lupi, the brother of Bonifacio, and Giovanni Dondi, the famous doctor who was an intimate friend of Petrarch, are to be recognized.
./images/384.jpg	ALTICHIERO da Zevio	The Funeral of St Lucy (detail)	Fresco	In the scene of The Funeral of St Lucy the backdrop is a lavishly designed sacred building - the church that was erected over the tomb of the saint, according to the Golden Legend. Numerous citizens dressed in contemporary garb are present at the funeral ceremony, and some of their faced have unmistakably portrait-like features. This applies particularly to the figures in the left half of the image, among whom Giovanni de' Lupi, the brother of Bonifacio, and Giovanni Dondi, the famous doctor who was an intimate friend of Petrarch, are to be recognized.
./images/385.jpg	ALTICHIERO da Zevio	View of the Cappella di San Giacomo	Fresco	The frescoes in the Cappella di San Giacomo (Chapel of St James) were commissioned by Bonifacio Lupi di Soragno and his wife, Caterina dei Franceschi. The architecture, designed by the Venetian sculptor and architect Andriolo de' Santi was commissioned in 1372. This chapel was begun in 1372 in a privileged location inside the Basilica del Santo opposite the Cappella di Sant'Antonio (Chapel of St Anthony) and was completed, along with its painted decoration, in 1379.The painting school of Padua can be ranked as the most vigorous of the northern Italian schools: the painters of Padua built upon Giotto's achievements. The prolific Paduan fresco painters added striking naturalistic observations of their own in landscape, in the painting of animals, and in portraiture. The most successful painters of the period came to Padua from outside - Jacopo Avanzi from Bologna and Altichiero da Zevio from Verona. In the Chapel of St James, to Avanzi have been attributed most of the lunettes of the Life of St James, painted about 1374, while to Altichiero has been assigned the huge Crucifixion and some of the other lunettes.
./images/386.jpg	ALTICHIERO da Zevio	Crucifixion	Fresco	The Veronese painter Altichiero studied Giotto's frescoes in Padua and borrowing from them developed new forms of pictorial architecture. Around 1380, he and Jacopo Avanzo painted a cycle of frescoes in the Chapel of San Giacomo in the Santo (the church of Sant'Antonio) in Padua. The group compositions of his Crucifixion are those of Giotto's figures, but the architecture is structured so that it seems to recede ever deeper into the background of the picture. Only a stone's throw from the chapel, the young Titian was to work in the Scuola del Santo in 1511, where he was deeply impressed by Altichiero's colour scheme and composition.Suggested listening (streaming mp3, 3 minutes):Guillaume Dufay: Hymn for Easter
